time, ping_pongs, air_speed, db, baudrate
10.00000262260437, 12, 62500, 22, 1200 
10.142184257507324, 19, 62500, 22, 2400 
10.048889636993408, 26, 62500, 22, 4800 
10.011175632476807, 32, 62500, 22, 9600 
10.000004529953003, 36, 62500, 22, 19200 
10.027205467224121, 39, 62500, 22, 38400 
10.02547311782837, 40, 62500, 22, 57600 
10.013403177261353, 41, 62500, 22, 115200
